TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
CRPG6;18,10;;-21,83;0,94;0,57;2,16;-4,84;-3,16;-14,26;-11,90;2,20;-0,14;0,69;1,59;-1,56;2,30;-4,29;-2,61;-6,82;0,61;0,39;0,83;2,32;;4.731,80;19,31;-0,83;0,28;519.636.168,09
CSAB3;30,50;;12,39;1,11;0,57;-124,00;1.656,27;2.521,73;18,86;24,57;;;312,32;3,54;-0,71;4,45;8,94;4,57;;0,51;0,49;0,00;-33,40;-1,31;;27,56;2,46;-0,02;305.164.800,00
CSAB4;48,97;;19,89;1,78;0,91;-124,00;1.656,27;2.521,73;30,28;24,57;;;501,45;5,68;-1,15;4,45;8,94;4,57;;0,51;0,49;0,00;-33,40;-1,31;;27,56;2,46;-0,03;305.164.800,00
CSAN3;5,25;;-1,58;3,53;0,17;31,95;3,94;-31,04;12,43;44,87;32,44;9,21;0,49;1,75;-0,21;1,80;-223,96;-10,51;-3,92;0,05;0,75;0,34;26,51;;219.036.446,37;1,49;-3,33;0,00;20.824.497.393,00
CSED3;6,08;7,99;8,78;1,34;0,46;50,81;21,95;9,18;3,67;4,38;0,70;0,26;0,81;6,47;-0,61;1,44;15,25;5,28;20,33;0,35;0,65;0,58;11,74;15,88;4.160.839,00;4,54;0,69;0,15;2.216.418.716,16
CSMG3;43,47;4,89;12,24;1,92;0,99;42,25;23,95;16,55;8,46;11,52;3,07;0,70;2,03;50,25;-1,14;1,17;15,68;8,05;8,75;0,51;0,49;0,49;8,84;12,36;137.423.526,21;22,65;3,55;-3,46;16.529.600.909,43
CSNA3;8,70;;-7,42;0,82;0,11;27,54;12,21;-3,42;2,08;8,34;6,26;2,45;0,25;1,44;-0,17;1,32;-11,00;-1,54;6,52;0,14;0,83;0,45;11,42;;85.031.705,16;10,66;-1,17;-0,58;11.537.017.338,90
CSRN3;13,60;;3,44;1,19;0,36;30,22;25,36;15,90;2,16;4,64;2,48;1,36;0,55;9,63;-0,46;1,20;34,54;10,32;21,05;0,30;0,70;0,65;7,94;19,34;0,00;11,45;3,95;0,17;2.273.440.192,00
CSRN5;15,10;;3,82;1,32;0,39;30,22;25,36;15,90;2,39;4,64;2,48;1,36;0,61;10,70;-0,51;1,20;34,54;10,32;21,05;0,30;0,70;0,65;7,94;19,34;0,00;11,45;3,95;0,19;2.273.440.192,00
CSRN6;15,50;;3,92;1,35;0,40;30,22;25,36;15,90;2,46;4,64;2,48;1,36;0,62;10,98;-0,52;1,20;34,54;10,32;21,05;0,30;0,70;0,65;7,94;19,34;0,00;11,45;3,95;0,19;2.273.440.192,00
CSUD3;16,89;16,50;7,49;1,39;0,95;41,64;20,82;15,58;5,61;5,20;-0,41;-0,10;1,17;15,43;-1,39;1,24;18,49;12,63;13,85;0,68;0,32;0,81;5,53;28,57;1.763.784,53;12,19;2,25;5,06;706.002.000,00
CTAX3;0,88;;-0,18;0,26;0,02;16,15;-1,89;-29,79;-2,86;-19,82;-16,96;1,56;0,05;-0,07;-0,02;0,38;-144,99;-11,36;-3,01;0,08;0,92;0,38;-15,50;;5.136,63;3,33;-4,83;0,00;23.505.113,28
CTCA3;0,00;;0,00;0,00;0,00;66,76;35,31;45,88;0,00;-2,85;-2,85;-0,41;0,00;0,00;0,00;5,53;18,55;14,43;10,00;0,78;0,22;0,31;11,54;60,86;;3,51;0,65;0,00;0,00
CTKA3;50,00;;2,81;5,75;0,43;46,03;11,99;14,68;3,43;6,88;3,88;6,50;0,41;1,35;-1,28;1,91;204,93;15,25;14,07;0,07;0,93;1,04;15,69;;26.250,00;8,69;17,81;0,04;270.711.064,81
CTKA4;38,11;;2,14;4,38;0,33;46,03;11,99;14,68;2,62;6,88;3,88;6,50;0,31;1,03;-0,98;1,91;204,93;15,25;14,07;0,07;0,93;1,04;15,69;;32.663,35;8,69;17,81;0,03;270.711.064,81
CTNM3;7,13;;-0,54;-0,56;0,07;-10,28;-87,29;-74,24;-0,46;-2,74;-2,50;;0,40;-0,15;-0,09;0,29;-103,41;-13,26;-89,33;-0,13;1,23;0,18;-15,32;;0,00;-12,84;-13,27;0,01;113.580.609,02
CTNM4;0,86;;-0,06;-0,07;0,01;-10,28;-87,29;-74,24;-0,06;-2,74;-2,50;;0,05;-0,02;-0,01;0,29;-103,41;-13,26;-89,33;-0,13;1,23;0,18;-15,32;;0,00;-12,84;-13,27;0,00;113.580.609,02
CTSA3;2,32;;-0,13;0,11;0,02;-72,76;-140,51;-191,17;-0,17;-2,50;-2,32;1,50;0,25;-0,08;-0,03;0,33;-88,09;-19,38;-25,55;0,22;0,78;0,10;-25,55;;2.998,00;20,51;-18,07;0,00;16.138.372,40
CTSA4;2,02;;-0,11;0,10;0,02;-72,76;-140,51;-191,17;-0,15;-2,50;-2,32;1,50;0,21;-0,07;-0,03;0,33;-88,09;-19,38;-25,55;0,22;0,78;0,10;-25,55;;2.959,47;20,51;-18,07;0,00;16.138.372,40
CTSA8;0,00;;0,00;0,00;0,00;-72,76;-140,51;-191,17;0,00;-2,50;-2,32;1,50;0,00;0,00;0,00;0,33;-88,09;-19,38;-25,55;0,22;0,78;0,10;-25,55;;;20,51;-18,07;0,00;16.138.372,40
CURY3;31,52;14,40;11,14;7,01;1,72;39,45;22,92;17,37;8,45;8,06;-0,39;-0,33;1,94;5,71;-4,36;2,00;62,90;15,47;34,56;0,25;0,71;0,89;30,96;40,32;116.716.011,89;4,50;2,83;0,32;9.709.660.162,88
CVCB3;2,20;;-15,53;2,30;0,32;96,57;12,30;-5,00;6,32;7,08;0,76;0,28;0,78;-2,41;-0,74;0,81;-14,79;-2,08;18,78;0,14;0,86;0,42;-4,20;;22.015.190,11;0,96;-0,14;0,43;1.156.300.413,40
CXSE3;16,54;9,73;11,31;3,67;3,39;;;;10,37;10,14;-0,23;-0,08;;60,05;-3,91;1,75;32,48;29,99;31,00;0,92;0,08;0,00;;23,35;56.109.586,84;4,50;1,46;0,46;49.620.000.000,00
CYRE3;23,96;15,86;6,01;1,05;0,44;32,51;24,72;20,95;5,09;6,63;1,53;0,32;1,26;1,05;-1,05;3,51;17,45;7,30;10,25;0,42;0,54;0,35;15,17;34,36;220.773.035,47;22,84;3,99;0,20;10.944.928.000,00
DASA3;4,48;;-5,47;0,72;0,27;28,60;10,06;-8,18;4,45;9,08;4,63;0,75;0,45;4,62;-0,39;1,23;-13,14;-4,87;4,58;0,37;0,63;0,60;28,55;;11.501.861,79;6,23;-0,82;-0,40;5.622.431.575,04
DESK3;16,84;0,83;26,69;1,39;0,52;61,10;30,18;6,12;5,42;8,54;3,13;0,80;1,63;14,49;-0,63;1,26;5,22;1,96;11,49;0,38;0,62;0,32;;;14.189.194,79;12,09;0,63;-1,23;1.952.863.533,12
DEXP3;7,85;12,00;6,18;0,93;0,60;15,81;10,66;7,08;4,10;3,75;-0,35;-0,08;0,44;1,30;-1,70;3,48;15,00;9,70;12,78;0,65;0,35;1,37;17,81;44,31;2.145.964,89;8,46;1,27;-1,37;965.154.767,55
DEXP4;7,82;8,90;6,16;0,92;0,60;15,81;10,66;7,08;4,09;3,75;-0,35;-0,08;0,44;1,30;-1,69;3,48;15,00;9,70;12,78;0,65;0,35;1,37;17,81;44,31;85.712,95;8,46;1,27;-1,36;965.154.767,55
DIRR3;13,63;19,37;9,34;2,90;0,57;38,74;23,09;18,79;7,60;7,84;0,23;0,09;1,76;1,69;-1,04;3,93;31,05;6,12;15,67;0,20;0,78;0,33;18,09;49,86;161.882.637,00;4,70;1,46;0,26;7.094.415.000,00
DMMO3;1,76;;3,09;0,41;0,02;45,67;4,75;3,87;2,52;2,52;;;0,12;4,72;-0,02;;13,29;0,62;;0,05;0,95;0,16;51,46;;;4,29;0,57;0,01;949.254.731,04
DMVF3;6,50;;19,74;0,36;0,17;28,13;2,63;0,64;4,81;5,08;0,27;0,02;0,13;8,66;-0,25;1,06;1,83;0,86;6,67;0,47;0,53;1,34;353,03;;466.946,89;17,98;0,33;-0,42;328.918.473,00
DOHL3;6,51;0,15;89,80;0,71;0,49;18,50;-1,35;0,89;-59,15;-58,63;-6,60;0,08;0,80;1,07;-1,14;5,27;0,79;0,55;-1,03;0,69;0,31;0,62;4,67;-29,67;1.953,00;9,14;0,07;-0,59;433.153.903,35
DOHL4;3,71;0,27;51,18;0,41;0,28;18,50;-1,35;0,89;-33,71;-58,63;-6,60;0,08;0,46;0,61;-0,65;5,27;0,79;0,55;-1,03;0,69;0,31;0,62;4,67;-29,67;14.291,77;9,14;0,07;-0,34;433.153.903,35
DOTZ3;4,50;;-21,24;-0,24;0,27;83,00;12,29;-1,49;2,58;5,68;3,10;;0,32;-0,34;-0,47;0,35;-1,13;-1,26;-11,09;-1,11;2,11;0,84;3,90;;57.810,79;-18,67;-0,21;0,24;59.948.901,00
DTCY3;2,75;;-186,65;24,75;4,19;29,74;1,50;-1,98;246,86;435,18;-29,19;-2,93;3,70;9,59;-135,45;1,82;-13,26;-2,24;10,02;0,17;0,83;1,13;-12,65;;698,88;0,11;-0,01;1,96;57.582.312,00
DTCY4;62,60;;-4.248,83;563,31;95,35;29,74;1,50;-1,98;5.619,43;435,18;-29,19;-2,93;84,25;218,37;-3.083,22;1,82;-13,26;-2,24;10,02;0,17;0,83;1,13;-12,65;;;0,11;-0,01;44,69;57.582.312,00
DXCO3;5,02;0,15;41,51;0,68;0,26;23,52;9,40;1,35;5,97;12,58;6,60;0,76;0,56;3,52;-0,36;1,33;1,65;0,62;3,71;0,37;0,61;0,46;10,44;-22,81;12.655.272,68;7,34;0,12;-0,62;4.613.551.663,92
EALT3;14,40;4,69;3,06;0,91;0,51;22,97;14,12;18,28;3,96;4,95;1,01;0,23;0,56;5,52;-0,85;1,31;29,71;16,76;11,99;0,56;0,44;0,92;13,53;44,42;14.232,63;15,84;4,71;0,05;321.960.000,00
EALT4;14,24;5,22;3,03;0,90;0,51;22,97;14,12;18,28;3,92;4,95;1,01;0,23;0,55;5,46;-0,84;1,31;29,71;16,76;11,99;0,56;0,44;0,92;13,53;44,42;151.759,68;15,84;4,71;0,05;321.960.000,00
ECOR3;10,51;2,94;7,93;1,74;0,21;39,37;37,58;8,44;1,78;6,82;5,04;4,92;0,67;4,15;-0,24;1,51;21,93;2,63;11,35;0,12;0,87;0,31;20,09;;46.872.195,63;6,04;1,33;1,62;7.318.472.694,24
ECPR3;90,25;;-9,87;1,21;0,62;;;;-17,12;-17,09;0,08;-0,01;;174,62;-0,62;2,97;-12,28;-6,29;-7,36;0,51;0,49;0,00;;;;74,46;-9,14;0,14;171.908.947,31
ECPR4;90,74;;-9,92;1,22;0,62;;;;-17,21;-17,09;0,08;-0,01;;175,57;-0,63;2,97;-12,28;-6,29;-7,36;0,51;0,49;0,00;;;;74,46;-9,14;0,14;171.908.947,31
EEEL3;294,77;;12,48;2,18;0,76;54,48;47,05;22,80;6,05;10,30;3,28;1,18;2,85;18,13;-0,92;1,31;17,46;6,06;11,74;0,35;0,65;0,27;13,69;5,88;;135,31;23,62;-1,76;7.539.711.815,81
EEEL4;410,00;;17,36;3,03;1,05;54,48;47,05;22,80;8,41;10,30;3,28;1,18;3,96;25,22;-1,28;1,31;17,46;6,06;11,74;0,35;0,65;0,27;13,69;5,88;;135,31;23,62;-2,45;7.539.711.815,81
EGIE3;31,13;5,92;11,72;2,89;0,63;48,47;50,93;23,87;5,49;9,25;3,76;1,98;2,80;57,67;-0,74;1,08;24,66;5,37;13,72;0,22;0,76;0,22;2,73;5,61;47.703.185,47;10,77;2,66;-0,43;35.559.762.764,68
EKTR3;49,20;9,34;10,24;4,72;0,73;27,36;22,31;9,53;4,37;7,14;3,27;3,53;0,98;38,29;-1,02;1,07;46,11;7,16;19,94;0,16;0,84;0,75;6,61;13,47;4.920,00;10,42;4,80;-1,43;8.439.801.754,11
EKTR4;38,47;13,15;8,01;3,69;0,57;27,36;22,31;9,53;3,42;7,14;3,27;3,53;0,76;29,94;-0,80;1,07;46,11;7,16;19,94;0,16;0,84;0,75;6,61;13,47;26.952,54;10,42;4,80;-1,12;8.439.801.754,11
ELEK3;19,11;;24,46;2,66;1,07;11,39;2,82;2,53;21,94;38,76;5,75;0,70;0,62;3,75;-2,60;1,94;10,87;4,36;4,38;0,40;0,60;1,72;1,48;;;7,19;0,78;-0,35;905.051.916,30
ELEK4;36,99;;47,34;5,15;2,07;11,39;2,82;2,53;42,48;38,76;5,75;0,70;1,20;7,26;-5,02;1,94;10,87;4,36;4,38;0,40;0,60;1,72;1,48;;;7,19;0,78;-0,68;905.051.916,30
ELMD3;31,00;0,64;39,74;4,53;1,39;49,42;24,62;8,95;14,44;17,04;2,60;0,82;3,55;10,24;-2,04;1,76;11,40;3,51;9,18;0,31;0,63;0,39;32,00;51,88;704.100,00;6,85;0,78;8,29;4.455.057.771,00
ELPL3;8,31;;2,65;0,41;0,08;18,09;13,10;4,29;0,87;4,25;3,38;1,59;0,11;-0,56;-0,10;0,63;15,42;3,00;16,62;0,19;0,81;0,70;6,92;3,85;;20,35;3,14;-0,44;2.485.315.360,74
EMAE3;150,00;;17,51;3,57;2,27;51,09;44,76;51,01;19,95;9,64;-1,78;-0,32;8,93;7,27;-3,53;7,69;20,41;12,95;13,06;0,63;0,37;0,25;7,20;27,86;0,00;41,96;8,57;0,15;3.173.316.450,00
EMAE4;43,50;;5,08;1,04;0,66;51,09;44,76;51,01;5,79;9,64;-1,78;-0,32;2,59;2,11;-1,02;7,69;20,41;12,95;13,06;0,63;0,37;0,25;7,20;27,86;286.166,47;41,96;8,57;0,04;3.173.316.450,00
EMBJ3;88,59;0,33;37,07;3,44;0,98;18,20;9,00;4,29;17,66;18,40;0,74;0,14;1,59;5,94;-2,17;1,43;9,28;2,65;7,38;0,29;0,69;0,62;27,61;;342.320.568,16;25,75;2,39;-1,16;65.597.798.247,96
ENAT3;21,80;;10,29;1,29;0,46;24,54;56,10;25,34;4,65;5,12;0,47;0,13;2,61;1,31;-0,85;3,90;12,53;4,43;8,60;0,35;0,65;0,17;11,74;5,75;201.679.399,00;16,91;2,12;0,01;5.785.005.265,20
ENBR3;24,08;;6,33;1,09;0,37;23,96;20,35;11,34;3,53;5,79;2,26;0,70;0,72;14,72;-0,52;1,09;17,17;5,81;13,75;0,34;0,63;0,51;2,76;10,57;;22,16;3,81;0,40;13.994.459.653,44
ENEV3;20,02;;1.139,30;1,95;0,71;29,97;17,61;0,20;12,78;17,90;5,12;0,78;2,25;16,54;-0,86;1,34;0,17;0,06;5,90;0,36;0,61;0,32;29,41;-43,68;220.862.328,79;10,25;0,02;-11,90;38.778.212.633,16
ENGI11;47,09;6,16;7,19;1,28;0,29;25,11;18,41;9,24;3,61;8,41;4,80;1,71;0,66;4,27;-0,38;1,39;17,86;3,98;9,76;0,22;0,73;0,43;11,12;48,61;160.767.736,11;36,70;6,55;0,22;23.717.981.630,34
ENGI3;12,25;4,73;9,35;1,67;0,37;25,11;18,41;9,24;4,69;8,41;4,80;1,71;0,86;5,56;-0,49;1,39;17,86;3,98;9,76;0,22;0,73;0,43;11,12;48,61;111.223,63;7,34;1,31;0,28;23.717.981.630,34
ENGI4;8,65;6,71;6,60;1,18;0,26;25,11;18,41;9,24;3,31;8,41;4,80;1,71;0,61;3,93;-0,35;1,39;17,86;3,98;9,76;0,22;0,73;0,43;11,12;48,61;144.672,95;7,34;1,31;0,20;23.717.981.630,34
ENJU3;1,04;;-10,41;0,70;0,49;55,90;-10,71;-7,66;-7,44;-0,13;7,31;-0,69;0,80;1,32;-1,22;2,60;-6,74;-4,69;-10,00;0,70;0,30;0,61;37,65;;383.829,37;1,48;-0,10;0,24;213.218.709,60
ENMA3B;50,49;;11,09;1,91;0,72;28,08;17,01;11,15;7,27;;2,82;0,74;1,24;13,67;-0,96;1,26;17,24;6,47;12,94;0,38;0,62;0,58;10,37;2,92;;26,40;4,55;-6,51;
ENMA6B;83,99;;18,45;3,18;1,19;28,08;17,01;11,15;12,10;;2,82;0,74;2,06;22,74;-1,59;1,26;17,24;6,47;12,94;0,38;0,62;0,58;10,37;2,92;;26,40;4,55;-10,83;
ENMT3;52,00;8,93;11,39;2,87;0,73;25,62;19,04;11,03;6,59;10,82;3,98;1,73;1,26;8,72;-0,98;1,52;25,22;6,45;14,07;0,26;0,74;0,59;10,74;10,97;47.512,00;18,11;4,57;-0,55;11.813.783.201,35
ENMT4;54,99;8,44;12,04;3,04;0,78;25,62;19,04;11,03;6,97;10,82;3,98;1,73;1,33;9,22;-1,03;1,52;25,22;6,45;14,07;0,26;0,74;0,59;10,74;10,97;15.780,00;18,11;4,57;-0,58;11.813.783.201,35
EPAR3;4,03;21,71;10,25;1,43;1,05;80,40;-115,99;273,93;-24,21;-22,82;1,38;-0,08;28,08;8,90;-1,25;4,12;13,99;10,26;-21,31;0,73;0,27;0,04;-44,69;-9,58;59.971,84;2,81;0,39;-0,07;59.888.089,04
EQPA3;6,11;21,56;8,19;2,66;0,61;27,86;19,16;13,85;5,92;7,91;1,97;0,89;1,13;4,43;-1,05;1,49;32,49;7,44;14,89;0,23;0,77;0,54;14,19;28,57;41.786,32;2,30;0,75;-0,40;13.545.940.122,59
EQPA5;17,00;7,75;22,78;7,40;1,70;27,86;19,16;13,85;16,46;7,91;1,97;0,89;3,16;12,31;-2,92;1,49;32,49;7,44;14,89;0,23;0,77;0,54;14,19;28,57;7.975,27;2,30;0,75;-1,11;13.545.940.122,59
EQPA6;6,59;19,99;8,83;2,87;0,66;27,86;19,16;13,85;6,38;7,91;1,97;0,89;1,22;4,77;-1,13;1,49;32,49;7,44;14,89;0,23;0,77;0,54;14,19;28,57;659,00;2,30;0,75;-0,43;13.545.940.122,59
EQPA7;6,85;19,23;9,18;2,98;0,68;27,86;19,16;13,85;6,63;7,91;1,97;0,89;1,27;4,96;-1,18;1,49;32,49;7,44;14,89;0,23;0,77;0,54;14,19;28,57;685,00;2,30;0,75;-0,45;13.545.940.122,59
EQTL3;38,30;6,19;14,34;1,69;0,38;26,64;19,36;6,56;4,86;9,61;4,76;1,65;0,94;4,08;-0,52;1,57;11,78;2,67;10,39;0,23;0,74;0,41;19,27;6,84;314.247.440,89;22,68;2,67;0,28;48.220.458.225,10
ESPA3;1,02;3,85;32,61;0,43;0,16;33,70;14,52;1,05;2,36;6,27;3,90;0,70;0,34;1,01;-0,31;1,52;1,31;0,50;8,57;0,38;0,62;0,48;9,72;-26,03;828.757,37;2,39;0,03;-0,21;368.651.527,32
ESTR3;5,00;;-1,56;-0,07;0,11;39,41;-3,79;-16,12;-6,64;-25,65;-18,84;;0,25;-0,05;-0,18;0,15;-4,38;-7,31;1,28;-1,67;2,67;0,45;6,61;;1.000,00;-73,28;-3,21;0,47;41.441.410,00
ESTR4;5,19;;-1,62;-0,07;0,12;39,41;-3,79;-16,12;-6,89;-25,65;-18,84;;0,26;-0,05;-0,19;0,15;-4,38;-7,31;1,28;-1,67;2,67;0,45;6,61;;840,40;-73,28;-3,21;0,49;41.441.410,00
ETER3;4,09;0,90;5,37;0,30;0,18;20,36;2,36;4,02;9,14;14,37;5,22;0,17;0,22;1,02;-0,32;1,66;5,57;3,33;-0,28;0,60;0,40;0,83;18,91;;430.887,11;13,69;0,76;-0,09;252.666.191,75
EUCA3;20,74;8,15;6,50;0,69;0,40;36,34;16,43;9,59;3,80;4,43;0,99;0,18;0,62;2,03;-0,64;2,16;10,54;6,22;11,09;0,59;0,41;0,65;13,37;35,10;26.084,92;30,27;3,19;-0,26;1.739.293.163,68
EUCA4;17,78;10,46;5,57;0,59;0,35;36,34;16,43;9,59;3,25;4,43;0,99;0,18;0,53;1,74;-0,55;2,16;10,54;6,22;11,09;0,59;0,41;0,65;13,37;35,10;658.822,79;30,27;3,19;-0,22;1.739.293.163,68
EVEN3;7,50;10,20;8,39;0,76;0,30;26,08;9,34;10,90;9,79;11,74;1,95;0,15;0,91;0,52;-1,05;5,14;9,03;3,57;3,21;0,40;0,55;0,33;2,43;8,46;6.284.585,89;9,90;0,89;0,14;1.500.000.000,00
EZTC3;13,70;11,34;7,08;0,75;0,55;40,82;27,83;32,85;8,35;8,71;0,36;0,03;2,32;1,58;-0,95;5,66;10,60;7,76;6,18;0,73;0,26;0,24;14,17;14,12;33.804.733,26;18,27;1,94;0,14;3.849.700.000,00
FBMC3;0,00;;0,00;0,00;0,00;-60,76;-92,67;-101,97;0,00;-0,74;-0,67;;0,00;0,00;0,00;0,31;-24,19;-36,57;25,82;-1,51;2,51;0,36;-18,14;;;-87,48;-21,16;0,00;904.253,84
FBMC4;1,96;;-0,09;-0,02;0,03;-60,76;-92,67;-101,97;-0,10;-0,74;-0,67;;0,09;-0,04;-0,05;0,31;-24,19;-36,57;25,82;-1,51;2,51;0,36;-18,14;;;-87,48;-21,16;0,00;904.253,84
FESA3;11,40;5,82;18,74;1,19;0,95;17,26;2,88;9,19;59,80;33,15;-10,57;-0,21;1,72;3,25;-1,58;3,76;6,34;5,08;0,46;0,80;0,20;0,55;11,82;-0,58;17.873,69;9,59;0,61;-1,16;2.943.125.000,00
FESA4;6,80;10,66;11,18;0,71;0,57;17,26;2,88;9,19;35,67;33,15;-10,57;-0,21;1,03;1,94;-0,94;3,76;6,34;5,08;0,46;0,80;0,20;0,55;11,82;-0,58;4.597.065,84;9,59;0,61;-0,69;2.943.125.000,00
FHER3;4,35;;-0,37;-0,21;0,08;2,02;-5,37;-14,19;-0,97;-0,63;0,34;;0,05;-0,66;-0,28;0,85;-56,73;-22,30;48,85;-0,39;1,39;1,57;31,29;;70.384,32;-20,97;-11,90;-0,02;234.279.185,40
FICT3;2,08;;-3,56;1,54;1,01;-727,29;-177,32;-738,88;-14,83;-7,94;6,89;-0,72;26,29;1,65;-9,94;3,17;-43,25;-28,48;-93,32;0,66;0,34;0,04;;;72.371,74;1,35;-0,58;0,02;91.233.386,40
FIEI3;12,53;;-9,02;0,42;0,27;27,37;-128,06;-259,37;-18,27;-28,76;-10,49;0,24;23,40;-3,37;-0,29;0,50;-4,63;-2,95;-1,90;0,64;0,36;0,01;-40,55;;38.621,71;30,01;-1,39;0,18;30.349.577,09
FIGE3;21,07;;3,57;0,27;0,26;100,00;93,05;62,25;2,39;0,80;;;2,22;24.904,07;-0,26;;7,64;7,39;;0,97;0,03;0,12;6,80;12,43;4.214,00;77,27;5,90;0,15;16.690.052,68
FIGE4;0,00;;0,00;0,00;0,00;100,00;93,05;62,25;0,00;0,80;;;0,00;0,00;0,00;;7,64;7,39;;0,97;0,03;0,12;6,80;12,43;;77,27;5,90;0,00;16.690.052,68
FIQE3;4,89;17,87;9,94;1,54;0,83;51,52;26,58;17,41;6,51;7,29;0,78;0,18;1,73;9,34;-1,09;1,57;15,46;8,31;9,98;0,54;0,46;0,48;44,39;39,94;2.834.902,47;3,18;0,49;-0,36;1.951.533.698,94
FLEX3;0,00;;0,00;0,00;0,00;19,49;-100,31;-141,80;0,00;-0,43;-0,43;;0,00;0,00;0,00;0,11;-81,00;-290,31;83,68;-3,58;4,58;2,05;-5,08;;;-132,45;-107,28;0,00;0,00
FLRY3;14,83;11,30;13,52;1,50;0,60;26,88;14,96;7,44;6,72;9,20;2,48;0,55;1,01;3,05;-0,93;2,21;11,13;4,42;9,31;0,40;0,60;0,59;21,48;13,97;37.748.452,37;9,86;1,10;-6,33;8.114.842.915,58
FNCN3;14,25;;-0,04;0,03;0,00;-82,62;-98,66;-59,20;-0,02;-0,02;;;0,02;0,01;-0,02;1,56;-65,31;-10,62;;0,16;0,84;0,18;187,45;;;555,08;-362,52;0,00;13.021.336,50
FRAS3;24,11;2,94;18,98;2,80;0,98;33,80;14,35;6,83;9,03;11,23;2,20;0,68;1,30;3,58;-1,92;2,27;14,78;5,17;14,14;0,35;0,65;0,76;23,77;57,37;9.711.929,21;8,60;1,27;1,77;6.758.879.044,01
FRIO3;209,98;;55,49;3,68;0,70;16,72;7,79;0,98;7,00;10,69;3,70;1,95;0,54;5,06;-2,17;1,26;6,63;1,27;13,09;0,19;0,77;1,29;8,13;2,08;22.124,00;57,06;3,78;2,15;1.340.171.522,46
FRTA3;1,31;;-0,49;-0,04;0,09;16,57;-16,43;-72,29;-2,17;-56,86;-54,68;;0,36;-0,03;-0,10;0,03;-7,17;-17,77;17,57;-2,48;3,48;0,25;7,62;;;-36,95;-2,65;-0,11;2.690.223,86
FTRT3B;0,00;;0,00;0,00;0,00;;;;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;-0,95;-0,90;-2,42;0,95;0,05;0,00;;;;0,01;0,00;0,00;0,00
G2DI33;1,73;;-10,19;0,27;0,25;100,00;1.028,02;1.303,14;-12,92;-15,43;-2,51;0,05;;-6,37;-0,26;0,17;-2,65;-2,49;-1,97;0,94;0,06;0,00;;;52.112,11;6,40;-0,17;0,12;199.047.551,24
GBIO33;10,40;;-14,97;1,32;0,79;43,48;3,79;-10,14;40,09;47,57;7,48;0,25;1,52;7,57;-1,43;1,31;-8,83;-5,29;-0,10;0,60;0,40;0,52;12,83;;;7,86;-0,69;0,06;1.108.871.982,40
GEPA3;30,00;34,03;11,21;1,58;0,71;38,20;33,96;20,61;6,80;9,44;2,18;0,51;2,31;-2,59;-0,76;0,21;14,12;6,31;10,11;0,45;0,55;0,31;1,08;-0,25;27.880,31;18,95;2,68;-0,62;3.021.865.056,00
GEPA4;33,00;30,93;12,33;1,74;0,78;38,20;33,96;20,61;7,48;9,44;2,18;0,51;2,54;-2,85;-0,84;0,21;14,12;6,31;10,11;0,45;0,55;0,31;1,08;-0,25;56.436,65;18,95;2,68;-0,68;3.021.865.056,00
GETT11;10,00;;31,44;5,16;0,34;41,43;18,41;17,71;30,25;;0,99;0,17;5,57;13,05;-8,16;1,03;16,41;1,07;7,88;0,07;0,93;0,06;;;0,00;1,94;0,32;0,28;
GETT3;2,40;;7,55;1,24;0,08;41,43;18,41;17,71;7,26;;0,99;0,17;1,34;3,13;-1,96;1,03;16,41;1,07;7,88;0,07;0,93;0,06;;;;1,94;0,32;0,07;
GETT4;2,40;;7,55;1,24;0,08;41,43;18,41;17,71;7,26;;0,99;0,17;1,34;3,13;-1,96;1,03;16,41;1,07;7,88;0,07;0,93;0,06;;;;1,94;0,32;0,07;
GFSA3;5,00;;-0,28;0,03;0,01;-7,57;-6,27;-22,58;-1,02;-25,73;-24,70;0,68;0,06;0,04;-0,03;1,88;-9,87;-3,94;-5,74;0,40;0,60;0,17;20,38;;2.623.902,95;178,22;-17,59;0,00;55.811.150,00
GGBR3;17,47;3,55;11,65;0,64;0,40;11,68;7,92;4,31;6,33;8,62;1,59;0,16;0,50;1,66;-0,65;2,70;5,50;3,44;5,81;0,63;0,37;0,80;11,07;20,05;557.074,11;27,26;1,50;-0,31;38.855.988.592,23
GGBR4;20,51;3,02;13,67;0,75;0,47;11,68;7,92;4,31;7,43;8,62;1,59;0,16;0,59;1,95;-0,76;2,70;5,50;3,44;5,81;0,63;0,37;0,80;11,07;20,05;202.496.411,95;27,26;1,50;-0,36;38.855.988.592,23
GGPS3;16,06;4,04;18,30;3,09;0,84;14,43;8,30;3,88;8,55;10,03;1,48;0,53;0,71;3,00;-1,77;2,13;16,89;4,58;13,75;0,27;0,73;1,18;27,93;25,40;60.050.472,79;5,20;0,88;-8,45;12.045.160.262,74
